task_id,prompt_id,task_text
L1_1,P1,"What is the {statistical_operator} of {variable} at {depth_range} over the {region} during {time_period}? Compute any mean as an area-weighted average; other statistics need no weighting. Use the native areacello for cell area when available, otherwise compute it from grid geometry."
L1_2,P1,"What is the vertically integrated {variable} inventory from {depth_range} over the {region} during {time_period}? Inventory is the sum of (grid-cell volume × concentration) across all selected grid cells, where grid-cell volume = cell area × layer thickness. Use the native areacello variable for cell area when available, otherwise compute it from grid geometry. Use total summation at each time step, not spatial averaging."
L1_3,P1,"What is the {statistical_operator} of the vertical gradient of {variable} between {depth_range} over the {region} during {time_period}? Select layers whose center depth falls within the specified range, then compute d(variable)/d(depth) on these layers via finite differences between adjacent center depths — central in the interior, one-sided at the top and bottom of the selection — yielding one gradient value at every (time, depth, lat, lon) cell of the selection. Apply that statistic to that 4-D gradient field. Compute any mean as an area-weighted average, other statistics need no weighting. Use the native areacello for cell area when available, otherwise compute it from grid geometry."
L1_4,P1,"Is the linear trend in the area-weighted mean {variable} over the {depth_range} of the {region} during {time_period} statistically significant at p<{significance_level}? Use the native areacello for cell area when available, otherwise compute it from grid geometry; depth and time are not weighted. Fit the linear trend on the original monthly series, with the p-value from a t-test on the slope."
L1_5,P1,"What is the linear trend in the global annual {depth_range} {derived_variable} computed from {base_variable} over {time_period}? Inventory is the sum of (grid-cell volume × concentration) across all selected grid cells, where grid-cell volume = cell area × layer thickness; use the native areacello for cell area when available, otherwise compute it from grid geometry. Where annual values are involved, split by calendar year and include incomplete years as-is — no discarding or special handling."
L1_6,P1,"What is the {statistical_operator} of global ocean {derived_variable} during {time_period}? Use the concentration variable and integrate it manually. Do not use any pre-integrated content product. Inventory is the sum of (grid-cell volume × concentration) across all selected grid cells, where grid-cell volume = cell area × layer thickness. Use the native areacello variable for cell area when available, otherwise compute it from grid geometry. Use total summation at each time step, not spatial averaging."
L1_7,P1,"Is the linear trend in the annual global area-weighted mean of {variable} over {time_period} positive? Use the native areacello for cell area when available, otherwise compute it from grid geometry; take an unweighted mean over the full depth. Compute annual values as unweighted means by calendar year, including incomplete years as-is — no discarding or special handling."
L1_8,P1,"Is the {statistical_operator} of {variable_1} over the {region_1} during {time_period_1} at {depth} {comparison_operator} the {statistical_operator} of {variable_2} over the {region_2} during {time_period_2} at {depth}? Compute any mean as an area-weighted average; other statistics need no weighting. Use the native areacello for cell area when available, otherwise compute it from grid geometry."
L1_9,P1,"What is the {statistical_operator} {variable} at {depth_range} over regions where {condition} during {time_period}? Evaluate the condition over time and the full water column to obtain a 2-D (lat, lon) regional mask. Compute any mean as an area-weighted average; other statistics need no weighting. Use the native areacello for cell area when available, otherwise compute it from grid geometry."
L1_10,P1,"Is the {statistical_operator} of {variable} over the {region} during {time_period} {comparison_operator} {threshold}? Compute any mean as an area-weighted average; other statistics need no weighting. Use the native areacello for cell area when available, otherwise compute it from grid geometry."
L1_11,P1,"What is the Pearson correlation coefficient between annual area-weighted mean {variable_1} and annual area-weighted mean {variable_2} over the {region} during {time_period}? Compute the spatial mean as an area-weighted average over the region with an unweighted mean over the full depth. Use the native areacello for cell area when available, otherwise compute it from grid geometry. Compute annual values as unweighted means by calendar year, including incomplete years as-is — no discarding or special handling."
L1_12,P1,"What is the difference between the {statistical_operator} of {variable_1} in the topmost layer and the {statistical_operator} of {variable_2} in the bottommost layer, both limited over the {region} during {time_period}? The difference is computed as the topmost value minus the bottommost value. Compute any mean as an area-weighted average; other statistics need no weighting. Use the native areacello for cell area when available, otherwise compute it from grid geometry."
