task_id,prompt_id,task_text
L3_1,P1,"What is the decadal linear trend in the {implicit_depth} {implicit_derived_variable} within the {qualified_area} defined in the same depth layer inside the {region} over {time_period_yr}?"
L3_2,P1,"Has the {implicit_derived_variable} anomaly in the {region} in the average {term_for_depth_layer} depth {verb_change_direction} at a statistically significant rate over {time_period}?"
L3_3,P1,"What is the Pearson correlation coefficient between {implicit_derived_variable} anomaly and {variable} anomaly in the {region} in the {implicit_depth} over {time_period}?"
L3_4,P1,"Is the annual trend in {depth_integrated_inventory} significantly correlated at zero lag with the annual trend of {implicit_derived_variable} when both are restricted to {enso_phase} months over {time_period} and within the {implicit_region} in the {implicit_depth}?"
L3_5,P1,"Has the annual-mean {implicit_derived_variable} anomaly in the global ocean between {depth_range} {verb_change_direction} significantly during {time_period}?"
L3_6,P1,"What is the difference in the {statistical_operator} {implicit_derived_variable} within the {region} in the {implicit_depth} between {qualified_time} and non-{qualified_time} during {time_period}?"
L3_7,P1,"What is the ratio of the mean {derived_variable_1} to the mean {derived_variable_2} in the {implicit_depth} within the {region} during {implicit_time_period}?"
L3_8,P1,"By how much does the mean of ocean volume-integrated {depth_integrated_inventory} within the {qualified_area} in the {implicit_region} change between {time_period_1} and {time_period_2}?"
L3_9,P1,"What is the change in the mean volume fraction of {implicit_surface_depth} waters classified as {descriptive_noun} in the {region} over {time_period_1} relative to {time_period_2}? Compute the volume fraction for each month first, then average over time within each period."
L3_10,P1,"In the {region}, is the inter-model spread in {implicit_depth} {variable} climatology significant during the {time_period}, after vertically averaging each model and regridding all models to a common 1° grid?"
L3_11,P1,"What is the inter-model standard deviation of the {implicit_depth} {variable} anomaly in the {region} in the recent period relative to the pre-industrial climatology?"
L3_12,P1,"Has the {term_for_depth_layer} depth in the {region} shifted deeper at a statistically significant rate from {time_period}?"
L3_13,P1,"What is the multi-model ensemble mean change in average {implicit_derived_variable} in the {implicit_region} in the {implicit_depth} between {time_period_1} and {time_period_2}?"
L3_14,P1,"What is the lag in months at which the correlation between the {correlated_derived_variable_1} and the {correlated_derived_variable_2} which are both restricted to {region} and {depth_range} is maximized over {time_period}?"
